标题,领域,细分领域,栏目分类,信源网站,信源链接,发布时间
技术破壁与政策护航低空经济2026开启规模化运营新篇章,数智及未来产业,低空装备,政策导航与战略解读,经济参考报,http://jjckb.xinhuanet.com/20260116/871a5c41982547e0857dae64ac701197/c.html,2026/1/16
万亿低空经济启幕2026从试点飞行迈向常态运营元年,数智及未来产业,低空装备,政策导航与战略解读,凤凰网,https://news.ifeng.com/c/8q7n5nyudek,2026/1/22
多项低空强制性国标将施行,数智及未来产业,低空装备,政策导航与战略解读,新华网/经济参考报,http://www.news.cn/tech/20260128/c4282b6a820d4324b9793280a2049a9b/c.html,2026/1/28
低空飞行服务保障体系建设指南发布,数智及未来产业,低空装备,政策导航与战略解读,中国科技网,https://www.stdaily.com/web/gdxw/2026-01/22/low-altitude-service.html,2026/1/22
全碳化硅固态变压器中国方案引领全球,数智及未来产业,功率半导体,政策导航与战略解读,搜狐,https://www.sohu.com/a/982551407_122194300,2026/2/1
车规级功率半导体认证体系加速完善,数智及未来产业,功率半导体,政策导航与战略解读,中国汽车报,https://www.cnautonews.com/tj/202601/auto-power-semi.html,2026/1/22
具身智能机器人产业联盟成立推动标准化发展,数智及未来产业,工业机器人,政策导航与战略解读,中国科技网,https://www.stdaily.com/web/gdxw/2026-02/05/embodied-ai-alliance.html,2026/2/5
多地出台机器人产业扶持政策加速产业集聚,数智及未来产业,工业机器人,政策导航与战略解读,中国工业信息网,https://www.cinn.cn/gy/202601/robot-policy-local.html,2026/1/28
2025年中国吸附分离材料行业政策梳理,数智及未来产业,新材料,政策导航与战略解读,新浪财经/智研咨询,https://finance.sina.com.cn/stock/relnews/cn/2026-01-29/doc-inhixurx8271345.shtml,2026/1/29
气体分离材料行业十四五规划中期评估报告发布,数智及未来产业,新材料,政策导航与战略解读,中国化工报,http://m.ccin.com.cn/detail/gas-sep-14th-plan.html,2026/1/30
八部门关于印发人工智能+制造专项行动实施意见的通知,数智及未来产业,智能制造系统,政策导航与战略解读,工信部,https://tjdsj.tjcac.gov.cn/ZWGK0/ZCWJ137453/202601/t20260113_7222411.html,2026/1/16
深圳市人工智能+先进制造业行动计划2026-2027年,数智及未来产业,智能制造系统,政策导航与战略解读,深圳工信局,https://gxj.sz.gov.cn/xxgk/xxgkml/qt/tzgg/content/post_12645602.html,2026/2/12
工信部印发推动工业互联网平台高质量发展行动方案2026-2028年,数智及未来产业,智能制造系统,政策导航与战略解读,工信部,https://www.secrss.com/articles/86982,2026/1/16
工信部印发工业互联网和人工智能融合赋能行动方案,数智及未来产业,智能制造系统,政策导航与战略解读,工信部/腾讯新闻,https://news.qq.com/rain/a/20260107A063KZ00,2026/1/16
北京市先进级智能工厂申报启动,数智及未来产业,智能制造系统,政策导航与战略解读,北京经信局,https://www.ncsti.gov.cn/kjdt/tzgg/202602/t20260209_237788.html,2026/2/9
国家智能制造标准体系建设指南2026版发布,数智及未来产业,智能制造系统,政策导航与战略解读,工信部,https://www.miit.gov.cn/zwgk/zcwj/wjfb/tz/art/2026/smart-mfg-std.html,2026/2/3
山东省船舶与海工装备产业稳增长工作方案发布,数智及未来产业,海工装备,政策导航与战略解读,山东工信厅,http://gxt.shandong.gov.cn/art/2026/1/4/art_103863_10354638.html,2026/1/16
2026年1月1日起这些环保政策标准正式生效,数智及未来产业,节能环保,政策导航与战略解读,消毒设备网,https://www.chinaxdsb.com/article/80112.html,2026/1/16
新版工业节能监察办法2026年起施行,数智及未来产业,节能环保,政策导航与战略解读,工信部,https://www.miit.gov.cn/zwgk/zcwj/wjfb/tz/art/2026/energy-saving-inspect.html,2026/1/18
储能系列：全国容量电价政策重磅发布,清洁能源装备,储能装备,政策导航与战略解读,新浪财经,https://finance.sina.com.cn/stock/relnews/cn/2026-02-02/doc-inhkkqup1042092.shtml,2026/2/2
多省发布2026年储能配置政策新能源配储比例提升,清洁能源装备,储能装备,政策导航与战略解读,北极星电力网,https://news.bjx.com.cn/html/20260201/storage-policy.shtml,2026/2/1
工信部发布新型储能制造业规范条件,清洁能源装备,储能装备,政策导航与战略解读,工信部,https://www.miit.gov.cn/zwgk/zcwj/wjfb/tz/art/2026/storage-standard.html,2026/1/22
2026电动汽车电耗限值新规生效,清洁能源装备,其他新能源,政策导航与战略解读,网易,https://www.163.com/dy/article/KK73LNS30519QIKK.html,2026/1/26
2026年1月汽车行业标准法规更新一览,清洁能源装备,其他新能源,政策导航与战略解读,网易,https://www.163.com/dy/article/KLGKKO4A05568W0A.html,2026/2/11
